,red,farred,ratio_Neuron,Neuron,l_distance,X,Y,normx,normy,fish_Neuron
7,103.31,112.759,0.39800588427590716,7,8.470566574310933,184.914,175.431,2.9139999999999873,11.931000000000012,26_11_2024/fish3p2_7
13,105.568,116.341,0.39781513551444375,13,7.429574815532481,136.909,185.364,-10.091000000000008,52.364000000000004,27_11_2024/fish3p1_13
16,93.654,97.885,0.39703566697493037,16,11.125733593148883,94.0,176.5,-61.0,65.0,27_11_2024/fish5p1_16
1,98.812,103.312,0.39672524699147443,1,77.36713230348755,108.969,109.156,-49.19800000000001,-25.010999999999996,26_11_2024/fish9_1
18,90.45,90.0,0.3965702036441598,18,11.437519026787406,132.0,223.0,-38.833,70.5,26_11_2024/fish7p2_18
12,106.968,118.29,0.3920086943232182,12,7.681629040130678,148.081,166.048,-0.08600000000001273,21.215000000000003,26_11_2024/fish4_plane2_12
20,89.167,90.69,0.3913799970651744,20,41.48941731463094,96.5,132.0,-58.5,20.5,27_11_2024/fish5p1_20
11,108.356,122.067,0.391062099642067,11,46.613783329036444,93.944,196.433,-70.223,56.26599999999999,26_11_2024/fish4_plane1_11
16,94.8,100.8,0.390220968500235,16,29.09041882867107,123.033,214.367,-48.967,64.36699999999999,27_11_2024/fish3p2_16
28,89.385,90.654,0.3881588883854428,28,0.23435723882584517,170.0,159.5,5.832999999999998,19.333,26_11_2024/fish4_plane1_28
0,99.912,109.5,0.3879574669952678,0,2.743017586027057,212.882,134.353,40.882000000000005,-15.646999999999991,27_11_2024/fish3p2_0
4,96.84,103.28,0.3859401218758282,4,22.997709492665717,151.14,145.74,-13.027000000000015,5.5730000000000075,26_11_2024/fish4_plane1_4
15,107.128,119.487,0.3844613866862599,15,1.7826703826567476,140.551,188.782,-7.616000000000014,43.94900000000001,26_11_2024/fish4_plane2_15
19,93.538,97.5,0.3823236553871439,19,53.97200608060487,142.0,157.5,-40.0,-6.0,26_11_2024/fish3p2_19
17,102.368,114.447,0.3802704166486931,17,7.379596341790001,140.0,228.105,-32.0,78.10499999999999,27_11_2024/fish3p2_17
14,104.0,114.732,0.37913996379824855,14,3.45421486285896,144.5,179.5,-3.6670000000000016,34.667,26_11_2024/fish4_plane2_14
32,89.156,90.344,0.37789865445176424,32,44.376381206744185,145.0,114.0,-19.167,-26.167,26_11_2024/fish4_plane1_32
20,91.167,97.857,0.3764278135916069,20,63.19103985927931,113.5,119.0,-29.5,-28.0,27_11_2024/fish7p1_20
4,104.182,118.152,0.3756868044312431,4,14.954967473390866,175.985,158.712,3.9850000000000136,8.711999999999989,27_11_2024/fish3p2_4
3,108.886,124.857,0.3750343710287527,3,22.88266184654364,177.414,160.929,-4.586000000000013,-2.570999999999998,26_11_2024/fish3p2_3
11,101.167,113.778,0.36687402916081974,11,1.8116625795975176,172.611,194.722,0.61099999999999,44.72200000000001,27_11_2024/fish3p2_11
3,99.448,106.862,0.3661747431240971,3,3.056415369468861,185.19,162.397,14.357,9.896999999999991,26_11_2024/fish7p2_3
20,94.92,101.06,0.3647448925018721,20,7.088731762151918,129.36,214.18,-34.80699999999999,74.013,26_11_2024/fish4_plane1_20
9,103.571,118.629,0.3632676425587694,9,4.923587811051484,173.957,180.271,1.9569999999999936,30.270999999999987,27_11_2024/fish3p2_9
1,102.167,113.278,0.36176852849387076,1,12.573679135514285,200.222,75.389,52.05500000000001,-69.444,26_11_2024/fish4_plane2_1
5,95.857,101.524,0.36160685760347594,5,4.405069688645112,194.262,99.881,46.095,-44.952,26_11_2024/fish4_plane2_5
23,89.429,95.286,0.3612889226429428,23,9.734801342294796,133.5,175.5,-9.5,28.5,27_11_2024/fish7p1_23
9,89.333,89.905,0.35981321024644386,9,19.38748732234006,113.5,202.5,-36.0,55.667,26_11_2024/fish7p1_9
27,87.625,89.125,0.3585657370517928,27,33.44933673044969,205.0,80.0,33.0,-70.0,27_11_2024/fish3p2_27
10,95.0,105.938,0.35807291666666685,10,24.12940424574711,118.5,170.375,-24.5,23.375,27_11_2024/fish7p1_10
8,98.4,107.65,0.35688005886681384,8,7.810438465880254,180.075,183.6,-1.9250000000000114,20.099999999999994,26_11_2024/fish3p2_8
17,96.966,110.276,0.35152894055469647,17,3.5424967635270486,135.81,182.052,-7.189999999999998,35.05199999999999,27_11_2024/fish7p1_17
