,X,Y,theta,radius,Y_c,X_c,red,farred,ratio_Neuron,Neuron,fish_Neuron
148,94.0,111.0,3.745671042585751,86.2670273047588,-49.0,-71.0,108.667,106.167,0.5390398981392689,148,fish7p2_148
147,57.0,129.0,3.421114805873433,112.36102527122117,-31.0,-108.0,105.469,103.219,0.5372104798876474,147,fish7p2_147
137,89.5,114.0,3.6888015742694953,88.40955830678038,-46.0,-75.5,126.147,123.882,0.5312680847210373,137,fish7p2_137
135,69.5,178.5,2.9502454070822846,97.2753822917186,18.5,-95.5,118.902,117.314,0.5262061133126571,135,fish7p2_135
64,67.591,125.409,3.4828133589886847,103.36851823451858,-34.590999999999994,-97.409,115.0,113.636,0.5238510992935949,64,fish7p2_64
143,78.5,170.5,3.020796362881248,87.13495280310882,10.5,-86.5,136.0,135.649,0.5191164069259329,143,fish7p2_143
75,64.278,147.056,3.269404249574111,101.55032456865905,-12.943999999999988,-100.722,111.222,110.944,0.5106108279650955,75,fish7p2_75
58,106.263,115.421,3.7908031813380005,73.73820183595474,-44.57899999999999,-58.736999999999995,127.132,128.079,0.5086208944821523,58,fish7p2_58
99,79.957,190.1,2.8014133809941293,90.21264794362263,30.099999999999994,-85.043,134.686,137.629,0.5003561098903009,99,fish7p2_99
50,97.864,98.924,3.87976050071306,90.76078598161212,-61.07599999999999,-67.136,115.121,117.0,0.4923248850449889,50,fish7p2_50
63,89.107,125.107,3.572538015270011,83.53004787500124,-34.893,-75.893,135.821,140.607,0.4913434034747086,63,fish7p2_63
146,87.5,179.0,2.9011732293889345,79.7950499717871,19.0,-77.5,99.0,99.062,0.4854822145457942,146,fish7p2_146
72,59.891,138.848,3.3401790004611858,107.2161787464933,-21.151999999999987,-105.10900000000001,107.391,108.826,0.4850805025569277,72,fish7p2_72
145,28.0,139.0,3.2936934356879113,138.6001443000692,-21.0,-137.0,95.5,95.167,0.4799332266815054,145,fish7p2_145
73,98.622,139.793,3.437102429667296,69.3856017701079,-20.206999999999994,-66.378,125.732,131.293,0.47781675369763665,73,fish7p2_73
66,62.464,126.821,3.454543216831933,107.7704845354237,-33.179,-102.536,115.821,120.143,0.4722432813630363,66,fish7p2_66
85,80.833,162.917,3.106949231054748,84.21753248581913,2.9170000000000016,-84.167,140.556,150.806,0.4699076753878213,85,fish7p2_85
51,85.583,101.354,3.777664896969024,98.72392417747585,-58.646,-79.417,118.917,124.25,0.469773906683629,51,fish7p2_51
95,89.357,183.729,2.8376174372245306,79.27754341552216,23.729000000000013,-75.643,116.8,122.4,0.46396841066140176,95,fish7p2_95
47,94.062,94.938,3.8838117893974387,96.25623973540624,-65.062,-70.938,111.656,116.094,0.4625594851176864,47,fish7p2_47
55,109.643,102.69,3.944323349359856,79.6795679518909,-57.31,-55.357,114.143,119.667,0.4589467026737603,55,fish7p2_55
150,49.5,208.5,2.744038261832012,125.26970902816052,48.5,-115.5,100.762,102.714,0.4561924695609121,150,fish7p2_150
154,75.5,206.5,2.6624252264665604,100.85881220795731,46.5,-89.5,103.226,105.968,0.4551933622562354,154,fish7p2_154
60,95.964,119.143,3.675976964784573,80.2200956431741,-40.857,-69.036,120.0,128.036,0.4531286077118449,60,fish7p2_60
131,36.5,209.5,2.773897443385031,137.70439353920412,49.5,-128.5,95.216,95.811,0.448074552670432,131,fish7p2_131
90,72.971,173.441,2.9965662565417754,93.00536179167307,13.441000000000003,-92.029,124.706,135.676,0.44481184259480566,90,fish7p2_90
48,110.326,97.022,3.9974549975608644,83.39948896725926,-62.977999999999994,-54.67400000000001,116.457,125.152,0.44061287531653676,48,fish7p2_48
52,77.5,100.0,3.7426664080875423,106.09547586961472,-60.0,-87.5,110.111,116.722,0.4382674672333387,52,fish7p2_52
