,X,Y,theta,radius,divergence,Y_c,X_c,red,farred,ratio_Neuron,Neuron,fish_Neuron
110,46.0,86.5,3.5459406661383692,120.73628286476274,0.045940666138369224,-47.5,-111.0,104.0,100.559,0.585194577196918,110,fish9_110
159,73.0,167.5,2.9134900253098506,86.23369411082886,0.5865099746901494,19.5,-84.0,106.971,103.765,0.5851672460145929,159,fish4_plane1_159
109,50.5,75.5,3.643895031687746,121.50925890647181,0.14389503168774587,-58.5,-106.5,104.297,100.919,0.5829613557507575,109,fish9_109
127,115.5,108.5,3.946790209553634,71.43178564196754,0.446790209553634,-51.5,-49.5,126.73,118.297,0.5811259792117537,127,fish7p2_127
161,97.5,93.5,3.6386468529221165,87.03160345529663,0.13864685292211654,-41.5,-76.5,112.81,110.714,0.5764003438422044,161,fish5p1_161
129,54.0,147.0,3.258178659051109,111.75866856758807,0.24182134094889118,-13.0,-111.0,104.135,99.981,0.5761706073249887,129,fish7p2_129
147,14.5,209.5,2.734162801688618,155.20470353697402,0.7658371983113819,61.5,-142.5,92.645,92.355,0.5720218991882196,147,fish4_plane1_147
49,117.259,97.569,4.059545916550675,78.59282945663682,0.5595459165506753,-62.431,-47.741,125.828,118.586,0.5719359913475247,49,fish7p2_49
77,119.375,93.333,3.793224563898592,68.7024709453743,0.2932245638985922,-41.667,-54.625,122.917,119.667,0.5715450228588546,77,fish5p1_77
148,59.0,201.0,2.6458275784853518,111.4136436887332,0.8541724215146482,53.0,-98.0,102.188,100.531,0.5701289346099991,148,fish4_plane1_148
81,66.851,161.905,2.9885540764809124,91.21508222876302,0.5114459235190876,13.905000000000001,-90.149,138.757,131.811,0.5698052806282852,81,fish4_plane1_81
89,89.5,170.0,3.0099088000341556,76.15937237136346,0.4900911999658444,10.0,-75.5,118.639,112.806,0.5684779461441947,89,fish7p2_89
214,52.5,232.0,2.4678562313699035,155.47105839994788,1.0321437686300965,97.0,-121.5,90.5,92.154,0.5676657584014537,214,fish5p1_214
60,31.311,109.257,3.4405963564236335,131.52469262461707,0.059403643576366516,-38.742999999999995,-125.689,119.351,115.541,0.5664809876937077,60,fish4_plane1_60
226,91.5,83.0,3.703996298406081,97.52051066314203,0.2039962984060808,-52.0,-82.5,106.292,106.0,0.5634757322227288,226,fish5p1_226
93,99.397,127.569,3.581134516198753,87.9642959955913,0.08113451619875311,-37.431,-79.603,139.276,133.517,0.5629851929194951,93,fish3p2_93
189,41.0,221.0,2.5675996413033326,158.38244852255568,0.9324003586966674,86.0,-133.0,91.406,93.0,0.5615458172585489,189,fish5p1_189
163,89.0,86.5,3.6601050543596774,97.86342524150685,0.16010505435967737,-48.5,-85.0,108.808,108.385,0.5606781597426183,163,fish5p1_163
153,56.5,177.5,2.8560800049237867,104.74015466858926,0.6439199950762133,29.5,-100.5,104.216,102.784,0.5598088118825637,153,fish4_plane1_153
65,81.643,125.69,3.5320615156501045,90.1419189334241,0.03206151565010451,-34.31,-83.357,118.476,113.619,0.5583526764522291,65,fish7p2_65
218,32.5,75.0,3.5426399479228894,153.69531547838406,0.04263994792288939,-60.0,-141.5,93.385,94.808,0.5577709876223521,218,fish5p1_218
